0 -0.00018 0   4.675940013953625e-08   8.499921974520149e-06  
0 -0.00016 0   4.743938512950664e-08   8.499918090616708e-06  
0 -0.00014 0   4.803937175478649e-08   8.49991464105562e-06  
0 -0.00012 0   4.855936006393971e-08   8.499911634307187e-06  
0 -9.999999999999994e-05 0   4.899935009932284e-08   8.499909077712333e-06  
0 -7.999999999999999e-05 0   4.935934189696926e-08   8.499906977482611e-06  
0 -6.000000000000005e-05 0   4.963933548649591e-08   8.499905338700198e-06  
0 -4e-05 0   4.983933089102169e-08   8.499904165317901e-06  
0 -2.000000000000005e-05 0   4.995932812710295e-08   8.499903460159152e-06  
0 0 0   4.999932720468922e-08   8.499903224918006e-06  
0 2.000000000000005e-05 0   4.995932812710295e-08   8.499903460159152e-06  
0 4.00000000000001e-05 0   4.983933089102169e-08   8.499904165317901e-06  
0 6.000000000000016e-05 0   4.963933548649591e-08   8.499905338700198e-06  
0 7.999999999999999e-05 0   4.935934189696926e-08   8.499906977482611e-06  
0 0.0001 0   4.899935009932284e-08   8.499909077712333e-06  
0 0.0001200000000000001 0   4.855936006393971e-08   8.499911634307187e-06  
0 0.0001399999999999999 0   4.803937175478649e-08   8.49991464105562e-06  
0 0.00016 0   4.743938512950664e-08   8.499918090616708e-06  
0 0.00018 0   4.675940013953625e-08   8.499921974520149e-06  
0 0.0001999999999999999 0   4.599941673024003e-08   8.499926283166266e-06  
0 0.0002199999999999999 0   4.515943484105668e-08   8.499931005826004e-06  
0 0.00024 0   4.423945440567449e-08   8.499936130640932e-06  
0 0.00026 0   4.323947535221093e-08   8.499941644623242e-06  
0 0.0002800000000000001 0   4.21594976034154e-08   8.499947533655743e-06  
0 0.0003000000000000001 0   4.099952107689939e-08   8.499953782491864e-06  
0 0.00032 0   3.975954568536724e-08   8.499960374755649e-06  
0 0.00034 0   3.843957133687646e-08   8.499967292941767e-06  
0 0.0003600000000000001 0   3.703959793511451e-08   8.499974518415494e-06  
0 0.0003799999999999999 0   3.555962537967849e-08   8.499982031412719e-06  
0 0.0004 0   3.399965356640782e-08   8.499989811039949e-06  
0 0.00042 0   3.23596823876897e-08   8.499997835274295e-06  
0 0.0004399999999999999 0   3.06397117328212e-08   8.500006080963481e-06  
